"filename", "language", "Python", "Markdown", "YAML", "C", "pip requirements", "toml", "Makefile", "Ini", "comment", "blank", "total"
"c:\Users\bhati\hello\Tkinter\fcc6.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\bhati\hello\Tkinter\fcc7.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 1, 14, 61
"c:\Users\bhati\hello\Tkinter\fcc8.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 2, 20, 74
"c:\Users\bhati\hello\Tkinter\fcc9.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\bhati\hello\Tkinter\originalcalc.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 20, 29, 93
"c:\Users\bhati\hello\Tkinter\pg155.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\bhati\hello\Tkinter\pg157.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\bhati\hello\Tkinter\pg159.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\bhati\hello\Tkinter\pg161.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\bhati\hello\Tkinter\pg162.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\bhati\hello\Tkinter\pg164.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\bhati\hello\Tkinter\pg166.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\bhati\hello\Tkinter\radiobuttons.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\bhati\hello\Tkinter\tempCodeRunnerFile.c", "C", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 133
"Total", "-", 1456, 2916, 65, 133, 8, 884, 14, 4, 314, 2186, 7980
