Date : 2023-03-11 14:58:17
Directory : c:\Users\bhati\hello\Tkinter
Total : 91 files,  5480 codes, 314 comments, 2186 blanks, all 7980 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.fr-FR.md                                        | Markdown         |         65 |          1 |         43 |        109 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.gu-GU.md                                        | Markdown         |         68 |          0 |         46 |        114 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.hin-HIN.md                                      | Markdown         |         73 |          1 |         48 |        122 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.it-IT.md                                        | Markdown         |         77 |          1 |         53 |        131 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.mr-MR.md                                        | Markdown         |         71 |          1 |         53 |        125 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.pt-BR.md                                        | Markdown         |         64 |          1 |         44 |        109 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.spa-SPA.md                                      | Markdown         |         59 |          1 |         42 |        102 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.tr-TR.md                                        | Markdown         |         68 |          1 |         52 |        121 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.zh-CN.md                                        | Markdown         |         64 |          1 |         41 |        106 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\build.md                                               | Markdown         |         42 |          0 |         16 |         58 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.ar-DZ.md                                  | Markdown         |        200 |          0 |         99 |        299 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.fr-FR.md                                  | Markdown         |        189 |          0 |         88 |        277 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.gu-GU.md                                  | Markdown         |        185 |          0 |         88 |        273 |
